id_steam,name_imdb,name_steam,positive,negative,estimated_owners_min,estimated_owners_max
9800,Death to Spies,Death to Spies,704,216,100 000,200 000
531660,Exoplanet: First Contact,Exoplanet: First Contact,243,79,20 000,50 000
764670,Sea Dogs,Sea Dogs,116,39,50 000,100 000
212070,Star Conflict,Star Conflict,10 858,3 928,2 000 000,5 000 000
852720,Voxel Tanks,Voxel Tanks,30,11,20 000,50 000
724490,Protocol,Protocol,224,85,20 000,50 000
466500,35MM,35MM,2 985,1 187,200 000,500 000
764500,Deep Dark Fight,Deep Dark Fight,108,43,0,20 000
735500,Creepy Road,Creepy Road,96,41,20 000,50 000
560820,The Saint: Abyss of Despair,The Saint: Abyss of Despair,70,30,20 000,50 000
975470,Silver Chains,Silver Chains,830,358,100 000,200 000
1505430,Inversion,Inversion,25,11,0,20 000
446270,UnnyWorld,,464,205,100 000,200 000
1666500,Write 'n' Fight,Write 'n' Fight,27,12,0,20 000
1425030,Cyberwinter,Cyberwinter,2,1,0,20 000
878580,GARAGE: Bad Trip,GARAGE: Bad Trip,505,253,50 000,100 000
236390,War Thunder,War Thunder,466 286,267 703,20 000 000,50 000 000
1135300,King's Bounty II,King's Bounty II,3 292,1 985,200 000,500 000
12390,Exodus from the Earth,Exodus from the Earth,133,92,50 000,100 000
1456940,Level Zero: Extraction,Level Zero: Extraction,1 547,1 219,100 000,200 000
1489380,Bad boy simulator,Bad boy simulator,51,42,0,20 000
693800,Loco Parentis,Loco Parentis / 孤女咒怨,278,234,50 000,100 000
2433390,Grim Tales: Echo of the Past,Grim Tales: Echo of the Past,1,1,0,20 000
1741520,Air Strike,Air Strike,3,10,100 000,200 000
1759700,The Abandoned,The Abandoned,0,3,0,20 000
