id_steam,name_imdb,name_steam,release_date,price,developers,publishers
3170,King's Bounty: Принцесса в доспехах,King's Bounty: Armored Princess,19.11.2009,9.99,Katauri Interactive,Fulqrum Publishing
289520,King's Bounty: Тёмная сторона,King's Bounty: Dark Side,19.08.2014,12.99,Fulqrum Publishing,Fulqrum Publishing
25900,King's Bounty: Легенда о рыцаре,King's Bounty: The Legend,01.05.2009,6.99,Fulqrum Publishing,Fulqrum Publishing
203350,King's Bounty: Воин Севера,King's Bounty: Warriors of the North,25.10.2012,9.99,Fulqrum Publishing,Fulqrum Publishing
250380,Knock-Knock,Knock-knock,04.10.2013,9.99,Ice-Pick Lodge,Ice-Pick Lodge
1134040,Labyrinths of the World: Fool's Gold,Labyrinths of the World: Fool's Gold Collector's Edition,09.08.2019,9.99,Domini Games,Big Fish Games
1393080,Labyrinths of the World: Hearts of the Planet,Labyrinths of the World: Hearts of the Planet Collector's Edition,17.08.2020,9.99,Domini Games,Big Fish Games
615530,"Love, Money, Rock 'n' Roll","Love, Money, Rock'n'Roll",04.08.2022,9.99,Soviet Games,Soviet Games
25980,Majesty 2: The Fantasy Kingdom Sim,Majesty 2,17.09.2009,9.99,1C:InoCo,Paradox Interactive
678430,Mayan Prophecies: Cursed Island,Mayan Prophecies: Cursed Island Collector's Edition,26.07.2017,9.99,EleFun Games,Big Fish Games
204860,Штрафбат,Men of War: Condemned Heroes,12.04.2012,7.99,Fulqrum Publishing,Fulqrum Publishing
3130,Чёрные бушлаты,Men of War: Red Tide,01.11.2009,4.99,Fulqrum Publishing,Fulqrum Publishing
63940,Диверсанты: Вьетнам,Men of War: Vietnam,08.09.2011,7.99,Fulqrum Publishing,Fulqrum Publishing
1357870,Metel: Horror Escape,Metel - Horror Escape,31.08.2020,2.99,Linked Squad,Linked Squad
740520,Mystery Tales: The Twilight World,Mystery Tales: The Twilight World Collector's Edition,15.11.2017,9.99,Domini Games,Big Fish Games
3278740,Neuro,NEURO,11.10.2024,4.99,Revolt Games,Strategy First
597700,Ovivo,OVIVO,12.05.2017,9.99,IzHard,IzHard
505230,Мор. Утопия,Pathologic 2,23.05.2019,34.99,Ice-Pick Lodge,tinyBuild
384110,Моr,Pathologic Classic HD,29.10.2015,12.99,"Ice-Pick Lodge, General Arcade",Good Shepherd Entertainment
289440,Периметр: Геометрия войны,Perimeter,03.04.2014,3.99,K-D Lab,Fulqrum Publishing
289240,Периметр: Завет Императора,Perimeter: Emperor's Testament,22.05.2014,3.99,K-D Lab,Fulqrum Publishing
3105890,Pioner,PIONER,coming_soon,,GFAGAMES,GFAGAMES
